mo_id,case_id,target_type,target_value,time_window,day_or_night,duration,entry_method,approach_method,tool_type,weapon_or_tool_refs,vehicle_type,transport_pattern,concealment_indicators,action_sequence,victim_interaction,escape_method,route_indicators,team_size,role_structure,targeted_property_category,mo_embedding,synthetic_demo_record
MO_0106,106,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0107,107,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0108,108,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0109,109,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0110,110,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0111,111,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0112,112,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0113,113,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0114,114,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0115,115,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0116,116,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0117,117,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0118,118,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0119,119,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0120,120,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0121,121,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0122,122,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0123,123,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0124,124,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0125,125,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0126,126,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0127,127,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0128,128,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0129,129,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0130,130,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0131,131,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0132,132,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0133,133,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0134,134,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0135,135,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0136,136,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0137,137,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0138,138,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,5,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0139,139,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0140,140,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0141,141,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0142,142,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
MO_0143,143,Commercial Entity,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""identify_prominent_local_trader"", ""send_covert_intimidation_message"", ""demand_recurring_protection_money"", ""specify_hawala_or_cash_drop"", ""verify_fund_receipt_via_courier""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,EXTORTION_RACKET,,True
MO_0144,144,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""procure_contraband_consignment"", ""conceal_in_commercial_cargo"", ""transport_via_interstate_transport"", ""drop_at_designated_transit_point"", ""handoff_to_local_distributor""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,NARCOTICS_COURIER_NETWORK,,True
MO_0145,145,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""observe_target_vehicle"", ""approach_with_master_key_or_device"", ""disable_security_tracker"", ""steal_and_drive_away"", ""replace_plate_number"", ""transport_to_outstation_warehouse""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,3,Leader + Operatives + Fencer,VEHICLE_THEFT_RING,,True
MO_0146,146,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""inspect_unattended_kiosk"", ""attach_skimmer_overlay"", ""install_pinhole_camera"", ""harvest_magnetic_stripe_data"", ""encode_cloned_cards"", ""execute_unauthorized_withdrawals""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,ATM_CARD_SKIMMING,,True
MO_0147,147,Individual / Asset,High Value Property,Late Night,Night,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""survey_pedestrian_victim"", ""approach_on_unidentified_motorcycle"", ""pillion_rider_snatches_valuable"", ""accelerate_through_narrow_by-lanes"", ""deliver_loot_to_fencer""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,2,Leader + Operatives + Fencer,CHAIN_SNATCHING,,True
MO_0148,148,Individual / Asset,High Value Property,Daylight Hours,Day,15-30 Minutes,Forced Entry / Interception,Two-Wheeler / Reconnaissance,Master Key / Overlay Device / Spoofed VoIP,Sharp Implement / Electronics,Two-Wheeler / Light Commercial Vehicle,Rapid Escape via By-Lanes,Fake Plate / Encrypted Voice,"[""spoof_official_bank_helpline"", ""contact_target_victim"", ""induce_panic_regarding_account_block"", ""extract_otp_and_credentials"", ""initiate_unauthorized_fund_transfer"", ""layer_funds_across_mule_accounts""]",Intimidation / Distraction / Coercion,Unidentified Transit Route,Arterial Highway Link,4,Leader + Operatives + Fencer,CYBER_FRAUD_CALL_CENTER,,True
